classification,avg_profit,median_profit,total_trades,avg_size_usd
Extreme Greed,25.418772159436944,0.0,6962,5660.265764148233
Fear,50.047621894017375,0.0,133871,5259.977836723413
Greed,87.8948589207749,0.0,36289,3182.883844966794
Neutral,22.229712656210616,0.0,7141,3058.8481095084726
